Diary export,Year to 30 June,Units,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021,2022,2023,2024,,,,,
Whole milk powder,Export volume,tonnes,"660,359","578,231","643,853","652,448","632,411","680,723","902,165","1,066,070","1,123,294","1,273,397","1,404,747","1,362,519","1,355,453","1,350,980","1,319,542","1,503,128","1,492,080","1,635,410","1,403,781","1,373,431","1,404,223",,,,,
Whole milk powder,Average export price,$NZ/tonne,"2,825","3,094","3,312","3,347","5,460","4,818","3,940","4,765","4,603","4,009","5,975","3,952","3,400","3,902","4,409","4,441","5,063","4,612","5,916","6,024","5,310",,,,,
Whole milk powder,Export revenue,$NZ millions,"1,866","1,789","2,133","2,184","3,453","3,280","3,555","5,080","5,170","5,104","8,393","5,385","4,609","5,271","5,818","6,675","7,555","7,542","8,304","8,274","7,457",,,,,
"Butter, AMF, and cream",Export volume,tonnes,"386,871","295,734","350,492","403,224","347,762","388,369","415,552","397,738","445,154","464,651","496,709","477,285","506,670","478,702","454,660","469,836","439,483","418,726","397,261","479,595","440,505",,,,,
"Butter, AMF, and cream",Average export price,$NZ/tonne,"2,780","2,902","2,946","2,637","4,389","4,358","4,204","6,036","5,155","4,110","5,434","4,649","4,694","5,837","8,385","7,688","7,645","6,369","8,857","9,568","9,394",,,,,
"Butter, AMF, and cream",Export revenue,$NZ millions,"1,076",858,"1,032","1,063","1,526","1,693","1,747","2,401","2,295","1,910","2,699","2,219","2,378","2,794","3,812","3,612","3,360","2,667","3,519","4,589","4,138",,,,,
Skim milk & butter milk powder,Export volume,tonnes,"341,516","249,366","286,505","371,783","288,684","373,036","429,526","384,718","385,014","454,820","398,020","447,211","468,543","456,058","431,303","401,079","406,273","357,035","358,771","463,802","465,058",,,,,
Skim milk & butter milk powder,Average export price,$NZ/tonne,"2,707","2,963","3,194","3,454","5,369","3,988","3,501","4,301","4,414","4,028","5,740","3,941","2,876","3,038","2,848","3,297","4,398","4,273","5,427","5,764","4,459",,,,,
Skim milk & butter milk powder,Export revenue,$NZ millions,925,739,915,"1,284","1,550","1,488","1,504","1,655","1,699","1,832","2,285","1,762","1,347","1,385","1,228","1,323","1,787","1,526","1,947","2,673","2,074",,,,,
Casein & protein products,Export volume,tonnes,"146,769","157,720","161,265","217,685","172,991","170,300","162,832","155,640","175,692","177,133","171,758","202,458","213,521","210,197","191,407","187,396","182,906","188,757","192,511","175,287","205,451",,,,,
Casein & protein products,Average export price,$NZ/tonne,"6,493","7,056","7,548","7,046","9,420","11,204","8,014","9,662","9,932","9,448","11,205","10,518","8,591","8,252","8,363","8,398","10,911","10,696","13,923","18,939","14,361",,,,,
Casein & protein products,Export revenue,$NZ millions,953,"1,113","1,217","1,534","1,630","1,908","1,305","1,504","1,745","1,674","1,925","2,129","1,834","1,735","1,601","1,574","1,996","2,019","2,680","3,320","2,950",,,,,
Cheese,Export volume,tonnes,"296,384","265,910","271,469","310,912","273,479","270,658","278,433","248,197","274,906","310,378","265,865","302,900","342,137","352,135","329,854","333,249","323,414","360,265","332,008","372,761","353,411",,,,,
Cheese,Average export price,$NZ/tonne,"3,493","3,957","4,225","3,962","5,272","5,955","4,779","5,456","5,164","4,643","5,575","5,141","5,028","5,197","5,777","5,897","6,406","5,733","6,623","8,154","7,369",,,,,
Cheese,Export revenue,$NZ millions,"1,035","1,052","1,147","1,232","1,442","1,612","1,331","1,354","1,420","1,441","1,482","1,557","1,720","1,830","1,905","1,965","2,072","2,065","2,199","3,039","2,604",,,,,
Infant formula,Export volume,tonnes,"12,349","10,117","12,226","14,826","19,678","21,750","19,991","20,026","28,788","46,587","36,102","31,434","52,219","59,919","91,915","117,442","113,446","94,979","87,733","91,595","83,459",,,,,
Infant formula,Average export price,$NZ/tonne,"4,204","5,935","7,240","7,878","9,110","12,355","12,575","12,262","12,138","11,919","11,095","13,208","13,117","12,982","13,495","13,974","16,238","16,715","16,353","20,902","21,723",,,,,
Infant formula,Export revenue,$NZ millions,52,60,89,117,179,269,251,246,349,555,401,415,685,778,"1,240","1,641","1,842","1,588","1,435","1,915","1,813",,,,,
Fluid milk and other dairy products,Export volume,tonnes,"110,038","175,558","186,617","179,816","192,199","226,340","219,415","215,675","220,101","214,873","206,409","222,213","293,480","371,286","419,381","511,892","499,059","568,750","573,604","569,373","600,939",,,,,
Fluid milk and other dairy products,Average export price,$NZ/tonne,"1,688","2,112","2,425","2,417","3,013","3,478","2,824","3,123","3,185","2,898","2,940","2,618","2,438","2,276","2,504","2,574","2,987","2,898","3,337","3,860","3,652",,,,,
Fluid milk and other dairy products,Export revenue,$NZ millions,186,371,453,435,579,787,620,673,701,623,607,582,716,845,"1,050","1,318","1,491","1,648","1,914","2,198","2,195",,,,,
