Product,Measure,Units,Year,Value,fact_text
Whole milk powder,Export volume,tonnes,2004,660359.0,"In 2004, the export volume of Whole milk powder was 660359.0 tonnes in New Zealand."
Whole milk powder,Average export price,$NZ/tonne,2004,2825.0,"In 2004, the average export price for Whole milk powder was 2825.0 $NZ/tonne in New Zealand."
Whole milk powder,Export revenue,$NZ millions,2004,1866.0,"In 2004, the export revenue of Whole milk powder was 1866.0 $NZ millions in New Zealand."
"Butter, AMF, and cream",Export volume,tonnes,2004,386871.0,"In 2004, the export volume of Butter, AMF, and cream was 386871.0 tonnes in New Zealand."
"Butter, AMF, and cream",Average export price,$NZ/tonne,2004,2780.0,"In 2004, the average export price for Butter, AMF, and cream was 2780.0 $NZ/tonne in New Zealand."
"Butter, AMF, and cream",Export revenue,$NZ millions,2004,1076.0,"In 2004, the export revenue of Butter, AMF, and cream was 1076.0 $NZ millions in New Zealand."
Skim milk & butter milk powder,Export volume,tonnes,2004,341516.0,"In 2004, the export volume of Skim milk & butter milk powder was 341516.0 tonnes in New Zealand."
Skim milk & butter milk powder,Average export price,$NZ/tonne,2004,2707.0,"In 2004, the average export price for Skim milk & butter milk powder was 2707.0 $NZ/tonne in New Zealand."
Skim milk & butter milk powder,Export revenue,$NZ millions,2004,925.0,"In 2004, the export revenue of Skim milk & butter milk powder was 925.0 $NZ millions in New Zealand."
Casein & protein products,Export volume,tonnes,2004,146769.0,"In 2004, the export volume of Casein & protein products was 146769.0 tonnes in New Zealand."
Casein & protein products,Average export price,$NZ/tonne,2004,6493.0,"In 2004, the average export price for Casein & protein products was 6493.0 $NZ/tonne in New Zealand."
Casein & protein products,Export revenue,$NZ millions,2004,953.0,"In 2004, the export revenue of Casein & protein products was 953.0 $NZ millions in New Zealand."
Cheese,Export volume,tonnes,2004,296384.0,"In 2004, the export volume of Cheese was 296384.0 tonnes in New Zealand."
Cheese,Average export price,$NZ/tonne,2004,3493.0,"In 2004, the average export price for Cheese was 3493.0 $NZ/tonne in New Zealand."
Cheese,Export revenue,$NZ millions,2004,1035.0,"In 2004, the export revenue of Cheese was 1035.0 $NZ millions in New Zealand."
Infant formula,Export volume,tonnes,2004,12349.0,"In 2004, the export volume of Infant formula was 12349.0 tonnes in New Zealand."
Infant formula,Average export price,$NZ/tonne,2004,4204.0,"In 2004, the average export price for Infant formula was 4204.0 $NZ/tonne in New Zealand."
Infant formula,Export revenue,$NZ millions,2004,52.0,"In 2004, the export revenue of Infant formula was 52.0 $NZ millions in New Zealand."
Fluid milk and other dairy products,Export volume,tonnes,2004,110038.0,"In 2004, the export volume of Fluid milk and other dairy products was 110038.0 tonnes in New Zealand."
Fluid milk and other dairy products,Average export price,$NZ/tonne,2004,1688.0,"In 2004, the average export price for Fluid milk and other dairy products was 1688.0 $NZ/tonne in New Zealand."
Fluid milk and other dairy products,Export revenue,$NZ millions,2004,186.0,"In 2004, the export revenue of Fluid milk and other dairy products was 186.0 $NZ millions in New Zealand."
Whole milk powder,Export volume,tonnes,2005,578231.0,"In 2005, the export volume of Whole milk powder was 578231.0 tonnes in New Zealand."
Whole milk powder,Average export price,$NZ/tonne,2005,3094.0,"In 2005, the average export price for Whole milk powder was 3094.0 $NZ/tonne in New Zealand."
Whole milk powder,Export revenue,$NZ millions,2005,1789.0,"In 2005, the export revenue of Whole milk powder was 1789.0 $NZ millions in New Zealand."
"Butter, AMF, and cream",Export volume,tonnes,2005,295734.0,"In 2005, the export volume of Butter, AMF, and cream was 295734.0 tonnes in New Zealand."
"Butter, AMF, and cream",Average export price,$NZ/tonne,2005,2902.0,"In 2005, the average export price for Butter, AMF, and cream was 2902.0 $NZ/tonne in New Zealand."
"Butter, AMF, and cream",Export revenue,$NZ millions,2005,858.0,"In 2005, the export revenue of Butter, AMF, and cream was 858.0 $NZ millions in New Zealand."
Skim milk & butter milk powder,Export volume,tonnes,2005,249366.0,"In 2005, the export volume of Skim milk & butter milk powder was 249366.0 tonnes in New Zealand."
Skim milk & butter milk powder,Average export price,$NZ/tonne,2005,2963.0,"In 2005, the average export price for Skim milk & butter milk powder was 2963.0 $NZ/tonne in New Zealand."
Skim milk & butter milk powder,Export revenue,$NZ millions,2005,739.0,"In 2005, the export revenue of Skim milk & butter milk powder was 739.0 $NZ millions in New Zealand."
Casein & protein products,Export volume,tonnes,2005,157720.0,"In 2005, the export volume of Casein & protein products was 157720.0 tonnes in New Zealand."
Casein & protein products,Average export price,$NZ/tonne,2005,7056.0,"In 2005, the average export price for Casein & protein products was 7056.0 $NZ/tonne in New Zealand."
Casein & protein products,Export revenue,$NZ millions,2005,1113.0,"In 2005, the export revenue of Casein & protein products was 1113.0 $NZ millions in New Zealand."
Cheese,Export volume,tonnes,2005,265910.0,"In 2005, the export volume of Cheese was 265910.0 tonnes in New Zealand."
Cheese,Average export price,$NZ/tonne,2005,3957.0,"In 2005, the average export price for Cheese was 3957.0 $NZ/tonne in New Zealand."
Cheese,Export revenue,$NZ millions,2005,1052.0,"In 2005, the export revenue of Cheese was 1052.0 $NZ millions in New Zealand."
Infant formula,Export volume,tonnes,2005,10117.0,"In 2005, the export volume of Infant formula was 10117.0 tonnes in New Zealand."
Infant formula,Average export price,$NZ/tonne,2005,5935.0,"In 2005, the average export price for Infant formula was 5935.0 $NZ/tonne in New Zealand."
Infant formula,Export revenue,$NZ millions,2005,60.0,"In 2005, the export revenue of Infant formula was 60.0 $NZ millions in New Zealand."
Fluid milk and other dairy products,Export volume,tonnes,2005,175558.0,"In 2005, the export volume of Fluid milk and other dairy products was 175558.0 tonnes in New Zealand."
Fluid milk and other dairy products,Average export price,$NZ/tonne,2005,2112.0,"In 2005, the average export price for Fluid milk and other dairy products was 2112.0 $NZ/tonne in New Zealand."
Fluid milk and other dairy products,Export revenue,$NZ millions,2005,371.0,"In 2005, the export revenue of Fluid milk and other dairy products was 371.0 $NZ millions in New Zealand."
Whole milk powder,Export volume,tonnes,2006,643853.0,"In 2006, the export volume of Whole milk powder was 643853.0 tonnes in New Zealand."
Whole milk powder,Average export price,$NZ/tonne,2006,3312.0,"In 2006, the average export price for Whole milk powder was 3312.0 $NZ/tonne in New Zealand."
Whole milk powder,Export revenue,$NZ millions,2006,2133.0,"In 2006, the export revenue of Whole milk powder was 2133.0 $NZ millions in New Zealand."
"Butter, AMF, and cream",Export volume,tonnes,2006,350492.0,"In 2006, the export volume of Butter, AMF, and cream was 350492.0 tonnes in New Zealand."
"Butter, AMF, and cream",Average export price,$NZ/tonne,2006,2946.0,"In 2006, the average export price for Butter, AMF, and cream was 2946.0 $NZ/tonne in New Zealand."
"Butter, AMF, and cream",Export revenue,$NZ millions,2006,1032.0,"In 2006, the export revenue of Butter, AMF, and cream was 1032.0 $NZ millions in New Zealand."
Skim milk & butter milk powder,Export volume,tonnes,2006,286505.0,"In 2006, the export volume of Skim milk & butter milk powder was 286505.0 tonnes in New Zealand."
Skim milk & butter milk powder,Average export price,$NZ/tonne,2006,3194.0,"In 2006, the average export price for Skim milk & butter milk powder was 3194.0 $NZ/tonne in New Zealand."
